id;title;year;genre;duration;country;director
tt0451108;Mad World;2010;Drama;98;USA;Cory Cataldo
tt0451154;The Passing;2011;Horror;92;USA;John Harwood
tt0451201;Sludge;2017;Horror;95;USA;Steve Taylor
tt0451279;Wonder Woman;2017;Action, Adventure, Fantasy;141;USA, China, Hong Kong;Patty Jenkins
tt0452664;Os Penetras;2012;Comedy;88;Brazil;Andrucha Waddington
tt0452694;The Time Traveler's Wife;2009;Drama, Fantasy, Romance;107;USA;Robert Schwentke
tt0453562;42;2013;Biography, Drama, Sport;128;USA;Brian Helgeland
tt0454876;Life of Pi;2012;Adventure, Drama, Fantasy;127;USA, Taiwan, UK, Canada;Ang Lee
tt0455323;Being Flynn;2012;Drama;102;USA;Paul Weitz
tt0455407;The Crazies;2010;Horror, Thriller;101;USA, United Arab Emirates;Breck Eisner
tt0455944;The Equalizer;2014;Action, Crime, Thriller;132;USA;Antoine Fuqua
tt0456407;Fakir of Venice;2009;Drama;87;India;Anand Surapur
tt0457355;From Mexico with Love;2009;Action, Drama, Sport;96;USA;Jimmy Nickerson
tt0457400;Land of the Lost;2009;Action, Adventure, Comedy;102;USA;Brad Silberling
tt0458339;Captain America: The First Avenger;2011;Action, Adventure, Sci-Fi;124;USA;Joe Johnston
tt0458413;A Long Way Down;2014;Comedy, Drama;96;UK, Germany;Pascal Chaumeil
tt0458455;Die PÃ¤pstin;2009;Drama, Romance;149;Germany, UK, Italy, Spain;SÃ¶nke Wortmann
tt0458481;Sin City: A Dame to Kill For;2014;Action, Crime, Thriller;102;USA;Frank Miller, Robert Rodriguez
tt0458515;Io, Don Giovanni;2009;Drama, History, Music;127;Italy, Spain, France;Carlos Saura
tt0458525;X-Men Origins: Wolverine;2009;Action, Adventure, Sci-Fi;107;USA, UK;Gavin Hood
tt0459748;Generation P;2011;Comedy, Drama, Sci-Fi;112;Russia, USA;Victor Ginzburg
tt0460778;Drunkboat;2010;Drama;98;USA;Bob Meyer
tt0460890;The Only Living Boy in New York;2017;Drama;89;USA;Marc Webb
tt0460943;The Ritual;2009;Drama, Horror;114;USA;Anthony Spadaccini
tt0461336;Salvando al Soldado PÃ©rez;2011;Adventure, Comedy, Western;105;Mexico;Beto GÃ³mez
tt0462232;Cold Storage;2009;Drama, Horror, Thriller;96;USA;Tony Elwood
tt0462335;High-Rise;2015;Drama;119;UK;Ben Wheatley
tt0462516;Satan Hates You;2010;Horror;94;USA;James Felix McKenney
tt0463311;Federal;2010;Drama, Thriller;91;Brazil, France, Colombia;Erik de Castro
tt0463960;The Devil You Know;2013;Mystery, Thriller;76;USA;James Oakley
tt0464054;House at the End of the Drive;2014;Horror, Thriller;91;USA;David Worth
tt0464137;Baja Beach Bums;2009;Comedy;88;USA;Patrick Healy
tt0464154;Piranha 3D;2010;Comedy, Horror;88;USA, Japan;Alexandre Aja
tt0464162;Komaram Puli;2010;Action, Crime, Thriller;163;India;S.J. Surya
tt0465580;Push;2009;Action, Adventure, Crime;111;USA, Canada;Paul McGuigan
tt0466893;Margaret;2011;Drama;150;USA;Kenneth Lonergan
tt0469021;Alan Partridge: Alpha Papa;2013;Action, Comedy, Crime;90;UK, France;Declan Lowney
tt0469094;Harlem Hostel;2010;Comedy, Drama;81;USA;Nestor Miranda
tt0469251;Tripping Forward;2009;Comedy;82;USA;Marcus Nash
tt0469318;Dark Country;2009;Crime, Mystery, Thriller;88;USA;Thomas Jane
tt0470752;Ex Machina;2014;Drama, Mystery, Sci-Fi;108;UK;Alex Garland
tt0471041;The Tournament;2009;Action, Thriller;95;UK, USA, Bahrain;Scott Mann
tt0471042;Tower Heist;2011;Action, Comedy, Crime;104;USA;Brett Ratner
tt0472033;9;2009;Animation, Action, Adventure;79;USA;Shane Acker
