movie_id;males_votes;females_votes;votes_10;votes_9;votes_8;votes_7;votes_6;votes_5;votes_4;votes_3;votes_2;votes_1
tt7748432;189;206;203;9;26;36;65;55;39;23;22;45
tt7748494;131;13;36;23;28;42;31;10;4;6;6;21
tt7749928;65;18;13;12;21;25;17;6;3;3;4;0
tt7752454;816;136;67;51;152;347;377;170;87;37;22;52
tt7752858;280;120;75;65;158;123;47;20;8;5;8;11
tt7753158;234;74;87;15;31;29;59;56;27;18;16;38
tt7754222;98;27;21;15;41;44;43;11;8;2;1;1
tt7756082;190;7;75;18;31;46;52;36;18;14;11;28
tt7756494;282;7;135;16;18;30;51;38;33;21;20;117
tt7757028;74;23;3;4;13;24;38;21;5;3;2;7
tt7757972;145;5;84;17;19;22;26;32;15;9;10;48
tt7758160;3574;205;2570;947;919;503;196;105;47;29;34;779
tt7759320;299;17;94;54;110;117;72;22;9;9;2;12
tt7759626;195;45;37;9;26;37;61;70;50;18;22;40
tt7759652;85;10;54;26;13;14;8;3;2;0;2;3
tt7760084;227;5;40;16;37;86;88;43;20;12;7;14
tt7761014;274;14;75;13;36;39;75;58;31;32;20;25
tt7761590;251;77;120;68;124;78;23;14;6;0;2;5
tt7762748;126;46;8;12;31;69;55;23;16;3;1;11
tt7762772;85;15;8;4;14;40;33;9;6;2;1;6
tt7762982;771;56;812;108;77;72;40;29;13;15;12;48
tt7763020;890;230;78;95;236;383;292;166;57;42;28;48
tt7764650;793;260;483;43;68;91;94;99;79;59;67;612
tt7765120;392;120;13;19;102;183;194;87;44;15;20;43
tt7765900;104;24;59;7;12;7;23;19;12;8;7;33
tt7765910;3035;80;3624;614;466;359;225;136;70;53;50;416
tt7767866;315;15;134;41;56;78;91;64;38;12;11;44
tt7767874;145;46;16;20;53;82;51;14;6;5;1;8
tt7768800;71;13;9;7;13;19;14;19;11;4;5;8
tt7768846;375;64;67;61;80;70;56;40;24;24;19;130
tt7769530;72;8;4;2;8;3;20;25;21;15;10;10
tt7770192;435;19;181;37;68;94;134;99;52;24;21;70
tt7772412;118;32;43;28;49;45;20;6;1;1;0;0
tt7772580;13651;4755;1179;1130;3407;6324;5984;3145;1633;1002;667;994
tt7773210;523;128;38;70;182;292;166;70;15;12;4;13
tt7773436;55;6;34;12;11;16;11;14;2;3;3;9
tt7775886;106;13;12;5;22;41;30;15;7;7;1;11
tt7776430;453;143;57;45;133;234;155;77;29;21;11;39
tt7776838;610;69;101;139;265;267;93;44;26;11;11;35
tt7776936;168;25;34;9;22;42;46;49;20;15;9;33
tt7777074;51;19;5;2;10;5;11;16;13;14;11;23
tt7777974;326;136;141;65;166;167;66;38;8;6;5;22
tt7778560;215;8;190;24;24;38;32;22;14;5;4;51
tt7779590;317;80;35;36;82;181;114;58;21;4;6;19
tt7780808;86;13;8;4;14;32;40;12;6;3;4;3
tt7781130;107;14;85;8;10;11;7;4;4;2;3;18
tt7784604;104079;25108;18723;27660;44284;38277;20887;11140;6093;4194;3203;6774
tt7784788;160;57;56;14;44;38;48;28;21;14;7;23
tt7786264;48;6;44;12;7;9;8;5;5;2;2;8
tt7787418;139;43;30;12;9;48;51;34;18;20;11;24
tt7790898;192;13;98;35;55;45;36;16;3;2;0;9
tt7791106;96;6;12;0;7;21;36;23;18;8;3;3
tt7791188;105;49;28;20;39;56;27;9;6;3;3;5
tt7791218;311;99;59;31;71;113;91;39;23;13;14;46
tt7794040;270;13;61;18;32;59;79;81;48;22;13;26
tt7794052;875;30;808;236;157;43;28;9;4;5;1;30
tt7794524;2449;106;2020;390;472;502;344;239;123;78;80;485
tt7795376;191;29;36;8;27;32;53;46;20;16;16;33
tt7796428;52;2;28;3;11;8;14;12;8;4;3;9
tt7797250;125;26;4;7;26;46;50;33;17;1;2;1
tt7797658;1471;91;953;487;397;270;129;65;33;16;24;92
tt7797926;51;29;29;20;13;7;5;8;9;16;20;39
tt7799386;302;70;11;27;135;198;105;27;7;1;4;19
tt7800040;94;15;104;26;7;7;3;5;4;3;0;4
tt7807026;1620;370;93;77;294;676;734;367;194;96;69;98
tt7807064;76;28;74;7;8;13;10;9;9;2;6;40
tt7808072;82;7;91;25;14;6;1;1;0;0;0;4
tt7816386;700;93;614;170;137;83;55;34;15;18;15;93
tt7816392;2738;111;297;93;300;781;1025;599;250;151;76;125
tt7817024;214;41;22;49;66;89;46;20;10;8;5;8
tt7817448;59;5;23;6;9;13;16;15;7;3;7;16
tt7819394;88;24;19;3;1;2;2;10;15;19;24;55
tt7819860;140;35;11;5;5;7;25;37;46;37;18;35
tt7820846;938;106;237;39;48;72;73;97;82;95;112;899
tt7822320;348;15;73;73;133;138;70;34;9;8;3;16
tt7822440;153;7;30;15;20;29;35;41;21;19;11;19
tt7826276;167;75;46;48;81;49;17;12;7;3;3;16
tt7827658;80;24;5;6;10;17;37;32;8;6;3;16
tt7827944;50;47;40;10;12;12;12;24;16;8;7;23
tt7830428;83;30;49;5;2;10;9;14;13;16;15;31
tt7830584;93;31;14;1;2;2;3;8;9;14;33;88
tt7830888;175;60;17;13;42;64;79;54;28;17;8;24
tt7830960;352;130;115;81;121;103;56;34;60;9;12;11
tt7831674;161;22;17;5;27;48;70;36;17;6;3;11
tt7832124;6594;1348;3835;1933;2441;1680;695;294;112;79;52;227
tt7833606;79;17;65;7;21;16;13;5;4;3;0;20
tt7833952;461;57;43;42;121;202;136;83;25;15;11;14
tt7834694;25;7;49;44;36;13;3;5;1;0;1;8
tt7838158;60;2;20;1;6;7;8;15;8;4;6;25
tt7838228;209;10;121;37;62;80;33;20;15;4;3;12
tt7838252;14883;410;15075;3968;2762;1621;728;441;299;227;257;1518
tt7838494;90;36;15;8;36;41;29;19;11;6;1;4
tt7839456;518;104;62;73;104;237;174;58;22;17;13;29
tt7841496;1442;748;120;74;232;504;675;608;274;187;94;116
tt7843946;1071;641;1050;293;397;281;162;112;40;39;27;203
tt7844166;1246;121;226;109;201;384;344;181;85;66;27;108
tt7850980;257;10;30;10;29;47;94;72;38;16;17;39
tt7851964;68;14;17;12;6;8;11;15;9;9;8;7
tt7852120;115;5;89;10;10;16;18;17;12;12;12;25
tt7852918;207;5;51;27;51;70;72;28;15;5;3;17
tt7853242;3713;752;806;839;1713;1689;711;233;107;54;31;73
tt7853260;195;6;37;9;31;36;62;60;45;18;8;11
tt7853268;150;5;16;19;32;63;42;23;6;3;3;5
tt7853278;56;1;7;4;0;3;2;0;5;6;11;70
tt7853282;130;8;62;22;31;33;29;18;9;6;2;7
tt7853292;532;29;238;64;121;136;107;67;57;32;26;74
tt7854174;226;14;65;49;80;99;56;16;9;3;5;14
tt7856166;308;23;141;27;21;46;79;87;61;25;18;58
tt7856176;110;35;121;9;0;3;4;5;3;2;3;16
